fid;ID;C2011_2012;LIB_2012.;C2012_NIV2;LIB2012_N2;C2012_NIV1;LIB2012_N1;SURFACE_M2;SURFACE_HA;PERIMETRE;SOURCE2012;FIAB_2012;Surface;Forbois;Ripi;Area;Align_haie;NUM_COMMUN;NOM_COMMUN;Niv1;Niv2;NivFinal;SourceID;SurfaceVeg
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;6.63817;0;482;Strasbourg;1;12;124;4;7.189
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;15;0;482;Strasbourg;1;12;124;4;14.086
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;46.5764;0;482;Strasbourg;1;13;134;6;47.112
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;12;0;482;Strasbourg;1;12;124;4;12.099
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;19;0;482;Strasbourg;1;12;124;4;18.678
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;14.541;0;482;Strasbourg;1;12;124;4;15.333
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;980.251;0;482;Strasbourg;1;13;134;6;329.628
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;13;0;482;Strasbourg;1;12;124;4;12.915
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;4.82063;0;482;Strasbourg;1;13;134;6;5.192
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;5.64886;0;482;Strasbourg;1;13;134;6;5.608
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;27.6412;0;482;Strasbourg;1;13;134;6;0.783
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;27.6412;0;482;Strasbourg;1;13;134;6;26.643
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;6.27751;0;482;Strasbourg;1;13;134;6;6.626
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;13.8026;0;482;Strasbourg;1;13;134;6;15.256
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;225.969;0;482;Strasbourg;1;13;134;6;99.004
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;225.969;0;482;Strasbourg;1;13;134;6;4.842
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;225.969;0;482;Strasbourg;1;13;134;6;121.357
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;28.3977;0;482;Strasbourg;1;13;134;6;27.887
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;9.40232;0;482;Strasbourg;1;13;134;6;8.938
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;1134.42;0;482;Strasbourg;1;13;134;6;269.665
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;1134.42;0;482;Strasbourg;1;13;134;6;41.702
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;24.9259;0;482;Strasbourg;1;13;134;6;24.397
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;5.48935;0;482;Strasbourg;1;13;134;6;5.827
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;17;0;482;Strasbourg;1;12;124;4;0.011
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;28.3857;0;482;Strasbourg;1;13;134;6;0.046
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;28.3857;0;482;Strasbourg;1;13;134;6;28.27
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;9;0;482;Strasbourg;1;12;124;4;8.91
